id_tabela,id_macae,classificacao,objeto,url
1,3148,FALSO (Serviço/Compra),"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM CONSTRUÇÃO CIVIL PARA CONSTRUÇÃO DE PRAÇA NO BAIRRO LAGOMAR, MACAÉ/RJ, COM FORNECIMENTO DE MÃO-DE-OBRA, MATERIAIS E EQUIPAMENTOS.",https://transparencia.macae.rj.gov.br/default/contratacoes/mostrarcontratos?id=3148
2,6248,VERDADEIRO (Obra de Engenharia),"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM OBRAS E SERVIÇOS DE ENGENHARIA PARA EXECUTAR A PRESTAÇÃO  DE SERVIÇOS PÚBLICOS DENTRO DO PLANO DE MANUTENÇÃO DE VIAS, PASSEIO E EQUIPAMENTOS PÚBLICOS, COM APOIO LOGÍSTICO E DE EQUIPE TÉCNICA PROFISSIONAL ESPECIALIZADA QUE VISA A OBTENÇÃO CONJUNTA DOS MUNICÍPIOS CONSORCIADOS AO CIDENNF ATRAVÉS DE ATA DE REGISTRO DE PREÇOS (ARP), POSSUINDO O  INTUITO DE FUTURA E EVENTUAL CONTRATAÇÃO DE  EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇOS PÚBLICOS.",https://transparencia.macae.rj.gov.br/default/contratacoes/mostrarcontratos?id=6248
3,6170,FALSO (Fora do escopo),"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA A EXECUÇÃO DA REGULARIZAÇÃO FUNDIÁRIA DE INTERESSE SOCIAL (REURB-S), de parte da ZEIS-08 (Zona de Especial Interesse Social Malvinas - Código de Urbanismo - LC141-2010), MALVINAS MACAÉ/RJ",https://transparencia.macae.rj.gov.br/default/contratacoes/mostrarcontratos?id=6170
4,6061,FALSO (Serviço/Compra),"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM CONSTRUÇÃO CIVIL PARA CONSTRUÇÃO EXECUÇÃO, EM CARÁTER EMERGENCIAL, DE ESTABILIZAÇÃO GEOTÉCNICA E RECUPERAÇÃO ESTRUTURAL DO MURO DE CONTENÇÃO, COM RECOMPOSIÇÃO DO ENROCAMENTO DE PROTEÇÃO MARGINAL, NO TRECHO ADJACENTE AO PONTO DE DESÁGUE DAS LINHAS DE RECALQUE DA ESTAÇÃO ELEVATÓRIA DR. TÉLIO BARRETO, MARGEM DO RIO MACAÉ, MACAÉ/RJ, COM FORNECIMENTO DE MATERIAIS, MÃO DE OBRA E EQUIPAMENTOS NECESSÁRIOS",https://transparencia.macae.rj.gov.br/default/contratacoes/mostrarcontratos?id=6061
5,6059,FALSO (Serviço/Compra),"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM CONSTRUÇÃO CIVIL PARA REFORMA DA ESTAÇÃO FERROVIÁRIA DE GLICÉRIO, LOCALIZADA NA RUA ALFREDO TANOS, S/N, DISTRITO DE GLICÉRIO, MACAÉ/RJ, COM FORNECIMENTO DE MATERIAIS, EQUIPAMENTOS E MÃO-DE-OBRA",https://transparencia.macae.rj.gov.br/default/contratacoes/mostrarcontratos?id=6059
6,6187,FALSO (Serviço/Compra),"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA REFORMA E COBERTURA DE QUADRA POLIESPORTIVA, LOCALIZADA NA RUA W VINTE, MIRANTE DA LAGOA, MACAÉ/RJ, COM FORNECIMENTO DE MÃO DE OBRA, MATERIAIS E EQUIPAMENTOS NECESSÁRIOS",https://transparencia.macae.rj.gov.br/default/contratacoes/mostrarcontratos?id=6187
7,5997,FALSO (Serviço/Compra),"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM CONSTRUÇÃO CIVIL, PARA CONSTRUÇÃO DO PRÉDIO DO HEMOCENTRO, LOCALIZADO À RUA SÃO JOÃO, S/N – CENTRO, COM FORNECIMENTO DE MATERIAIS, MÃO DE OBRA E EQUIPAMENTOS NECESSÁRIOS",https://transparencia.macae.rj.gov.br/default/contratacoes/mostrarcontratos?id=5997
8,5937,FALSO (Serviço/Compra),"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM CONSTRUÇÃO CIVIL PARA CONSTRUÇÃO DE 3 TABULEIROS DE PONTES NO SANA (SÃO BENTO, JACCOUD E BOA SORTE 2), LOCALIZADA EM MACAÉ/RJ, COM FORNECIMENTO DE MATERIAIS, MÃO DE OBRA E EQUIPAMENTOS NECESSÁRIOS",https://transparencia.macae.rj.gov.br/default/contratacoes/mostrarcontratos?id=5937
9,5892,FALSO (Serviço/Compra),"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM CONSTRUÇÃO CIVIL PARA REFORMA E AMPLIAÇÃO DA GUARDA MUNICIPAL, LOCALIZADA NO BOTAFOGO, MACAÉ/RJ, COM FORNECIMENTO DE MATERIAIS, EQUIPAMENTOS E MÃO-DE-OBRA",https://transparencia.macae.rj.gov.br/default/contratacoes/mostrarcontratos?id=5892
10,5862,FALSO (Serviço/Compra),"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUÇÃO DE SISTEMA DE DRENAGEM DE ÁGUAS PLUVIAIS NA RUA DOS EUCALIPTOS E ENTORNOS NO BAIRRO AROEIRA, LOCALIZADOS EM MACAÉ/RJ, COM FORNECIMENTO DE MATERIAIS, EQUIPAMENTOS E MÃO DE OBRA",https://transparencia.macae.rj.gov.br/default/contratacoes/mostrarcontratos?id=5862
